Jiawei Han
Mary Jean Harrold
Bran Selic
Paolo Tonella
Jonathan Aldrich
Alexander Egyed
Charles Zhang
Alessandra Gorla
Shriram Krishnamurthi
Somesh Jha
Joseph Feller
Lori L. Pollock
Patrick Heymans
Amir Michail
Yuriy Brun
Leif Singer
Giancarlo Succi
Antonio Carzaniga
Julia Rubin
Martin Pinzger
Len Bass
Paola Inverardi
David Lo
Steve M. Easterbrook
Thomas D. LaToza
John C. Knight
Jonathan I. Maletic
Koushik Sen
Marin Litoiu
Yves Le Traon
Sunghun Kim
Xusheng Xiao
Felienne Hermans
Kelly Blincoe
Hong Mei
Bonnie E. John
John C. Grundy
Richard C. Holt
Brendan Murphy
Martin Glinz
Michal Young
Caitlin Sadowski
Lin Tan
Paris Avgeriou
Malcom Gethers
Nicol&#225;s D'Ippolito
Mary Shaw
Ali Mesbah
Albert Z&#252;ndorf
Bertrand Meyer
D. Ross Jeffery
Gail E. Kaiser
Antonio Filieri
Kenny Wong
Christoph Treude
Thomas R. Gross
Leandro L. Minku
Dirk Beyer
Tevfik Bultan
Gilles Perrouin
Awais Rashid
Richard F. Paige
Hans van Vliet
Andy Podgurski
Romain Robbes
Scott A. Hissam
Wojtek Kozaczynski
Walid Maalej
Giordano Tamburrelli
Sonia Haiduc
Kurt C. Wallnau
Stan Jarzabek
James A. Jones
Stephan Diehl
Eleni Stroulia
Wenyun Zhao
Michael W. Whalen
Carlo A. Furia
John Hatcliff
Rafael Prikladnicki
Gruia-Catalin Roman
Sandeep Kumar
Nenad Medvidovic
Judith A. Stafford
Patrice Godefroid
Victor Pankratius
Jonathan de Halleux
Bradley R. Schmerl
Yuanfang Cai
Julian Dolby
Jun Sun
Atanas Rountev
Derek Rayside
Pekka Abrahamsson
Axel Legay
Anna Liu
Yijun Yu
Adrian Kuhn
Scott R. Tilley
Carlos Jos&#233; Pereira de Lucena
Anh Tuan Nguyen
Eric Bodden
Andrea Mattavelli
Tarja Syst&#228;
Betty H. C. Cheng
Leandro Sales Pinto
Alexander Pretschner
Xin Peng
Atif M. Memon
John G. Hosking
Mats Per Erik Heimdahl
Paul Ralph
Siau-Cheng Khoo
Kim Herzig
Pierre-Yves Schobbens
Grace A. Lewis
Alessandro F. Garcia
Ewan D. Tempero
Daniel Port
Michael Goedicke
David Budgen
Yang Liu
Andrea Mocci
Heinz W. Schmidt
Emmanuel Letier
Jane Huffman Hayes
Shane McIntosh
Neil A. M. Maiden
Daniela E. Damian
Fayola Peters
Rog&#233;rio de Lemos
Michel Wermelinger
Westley Weimer
Jeffrey C. Carver
Marcelo Cataldo
Hamid Bagheri
Dennis B. Smith
Stefan Wagner
Kivan&#231; Muslu
Fabio Palomba
Max Sch&#228;fer
Axel van Lamsweerde
Rachel K. E. Bellamy
Lori A. Clarke
Eric Wohlstadter
Rainer Koschke
Earl T. Barr
Douglas C. Schmidt
