Joanne M. Atlee	http://dblp.uni-trier.de/pers/hd/a/Atlee:Joanne_M=
Martin Fowler	http://dblp.uni-trier.de/pers/hd/f/Fowler:Martin
Naoyasu Ubayashi	http://dblp.uni-trier.de/pers/hd/u/Ubayashi:Naoyasu
Jon G. Hall	http://dblp.uni-trier.de/pers/hd/h/Hall:Jon_G=
Wolfgang De Meuter	http://dblp.uni-trier.de/pers/hd/m/Meuter:Wolfgang_De
Antonia Bertolino	http://dblp.uni-trier.de/pers/hd/b/Bertolino:Antonia
Itai Segall	http://dblp.uni-trier.de/pers/hd/s/Segall:Itai
Nicol&#242; Perino	http://dblp.uni-trier.de/pers/hd/p/Perino:Nicol=ograve=
Robert B. France	http://dblp.uni-trier.de/pers/hd/f/France:Robert_B=
Domenico Bianculli	http://dblp.uni-trier.de/pers/hd/b/Bianculli:Domenico
Ioana Rus	http://dblp.uni-trier.de/pers/hd/r/Rus:Ioana
Paul Gr&#252;nbacher	http://dblp.uni-trier.de/pers/hd/g/Gr=uuml=nbacher:Paul
Shahar Maoz	http://dblp.uni-trier.de/pers/hd/m/Maoz:Shahar
Lingxiao Jiang	http://dblp.uni-trier.de/pers/hd/j/Jiang:Lingxiao
Houari A. Sahraoui	http://dblp.uni-trier.de/pers/hd/s/Sahraoui:Houari_A=
John Mylopoulos	http://dblp.uni-trier.de/pers/hd/m/Mylopoulos:John
Bernd Fischer	http://dblp.uni-trier.de/pers/hd/f/Fischer_0002:Bernd
Deepak Dhungana	http://dblp.uni-trier.de/pers/hd/d/Dhungana:Deepak
Rick Rabiser	http://dblp.uni-trier.de/pers/hd/r/Rabiser:Rick
Udo Kelter	http://dblp.uni-trier.de/pers/hd/k/Kelter:Udo
Rui Abreu	http://dblp.uni-trier.de/pers/hd/a/Abreu:Rui
Shiva Nejati	http://dblp.uni-trier.de/pers/hd/n/Nejati:Shiva
Julia L. Lawall	http://dblp.uni-trier.de/pers/hd/l/Lawall:Julia_L=
&#193;kos Horv&#225;th	http://dblp.uni-trier.de/pers/hd/h/Horv=aacute=th:=Aacute=kos
Robert J. Hall	http://dblp.uni-trier.de/pers/hd/h/Hall:Robert_J=
Marwan Abi-Antoun	http://dblp.uni-trier.de/pers/hd/a/Abi=Antoun:Marwan
Kunal Taneja	http://dblp.uni-trier.de/pers/hd/t/Taneja:Kunal
Perry Alexander	http://dblp.uni-trier.de/pers/hd/a/Alexander:Perry
Bing Xie	http://dblp.uni-trier.de/pers/hd/x/Xie:Bing
Andrea Zisman	http://dblp.uni-trier.de/pers/hd/z/Zisman:Andrea
Shadi Abdul Khalek	http://dblp.uni-trier.de/pers/hd/k/Khalek:Shadi_Abdul
Lars Grunske	http://dblp.uni-trier.de/pers/hd/g/Grunske:Lars
Daniel Kroening	http://dblp.uni-trier.de/pers/hd/k/Kroening:Daniel
Alex Groce	http://dblp.uni-trier.de/pers/hd/g/Groce:Alex
Cyrille Artho	http://dblp.uni-trier.de/pers/hd/a/Artho:Cyrille
Debra J. Richardson	http://dblp.uni-trier.de/pers/hd/r/Richardson:Debra_J=
Andrea Arcuri	http://dblp.uni-trier.de/pers/hd/a/Arcuri:Andrea
Yoshinori Tanabe	http://dblp.uni-trier.de/pers/hd/t/Tanabe:Yoshinori
Yves Ledru	http://dblp.uni-trier.de/pers/hd/l/Ledru:Yves
Klaus Pohl	http://dblp.uni-trier.de/pers/hd/p/Pohl:Klaus
Ewen Denney	http://dblp.uni-trier.de/pers/hd/d/Denney:Ewen
Patrick M&#228;der	http://dblp.uni-trier.de/pers/hd/m/M=auml=der:Patrick
Gregory M. Kapfhammer	http://dblp.uni-trier.de/pers/hd/k/Kapfhammer:Gregory_M=
Massila Kamalrudin	http://dblp.uni-trier.de/pers/hd/k/Kamalrudin:Massila
Timo Kehrer	http://dblp.uni-trier.de/pers/hd/k/Kehrer:Timo
D&#225;niel Varr&#243;	http://dblp.uni-trier.de/pers/hd/v/Varr=oacute=:D=aacute=niel
Mathieu Acher	http://dblp.uni-trier.de/pers/hd/a/Acher:Mathieu
Chengnian Sun	http://dblp.uni-trier.de/pers/hd/s/Sun:Chengnian
Lucia	http://dblp.uni-trier.de/pers/hd/l/Lucia:
&#193;bel Heged&#252;s	http://dblp.uni-trier.de/pers/hd/h/Heged=uuml=s:=Aacute=bel
Milos Gligoric	http://dblp.uni-trier.de/pers/hd/g/Gligoric:Milos
Kelvin Ku	http://dblp.uni-trier.de/pers/hd/k/Ku:Kelvin
Chris Mattmann	http://dblp.uni-trier.de/pers/hd/m/Mattmann:Chris
Marcelo d'Amorim	http://dblp.uni-trier.de/pers/hd/d/d=Amorim:Marcelo
K. Vijay-Shanker	http://dblp.uni-trier.de/pers/hd/v/Vijay=Shanker:K=
Valentin Dallmeier	http://dblp.uni-trier.de/pers/hd/d/Dallmeier:Valentin
Lydie du Bousquet	http://dblp.uni-trier.de/pers/hd/b/Bousquet:Lydie_du
Volker Gruhn	http://dblp.uni-trier.de/pers/hd/g/Gruhn:Volker
Emily Hill	http://dblp.uni-trier.de/pers/hd/h/Hill:Emily
Junaid Haroon Siddiqui	http://dblp.uni-trier.de/pers/hd/s/Siddiqui:Junaid_Haroon
Ra&#250;l A. Santelices	http://dblp.uni-trier.de/pers/hd/s/Santelices:Ra=uacute=l_A=
Yann-Ga&#235;l Gu&#233;h&#233;neuc	http://dblp.uni-trier.de/pers/hd/g/Gu=eacute=h=eacute=neuc:Yann=Ga=euml=l
Cristina Videira Lopes	http://dblp.uni-trier.de/pers/hd/l/Lopes:Cristina_Videira
Mitsuharu Yamamoto	http://dblp.uni-trier.de/pers/hd/y/Yamamoto:Mitsuharu
Kim Mens	http://dblp.uni-trier.de/pers/hd/m/Mens:Kim
Nuo Li	http://dblp.uni-trier.de/pers/hd/l/Li:Nuo
Olivier Barais	http://dblp.uni-trier.de/pers/hd/b/Barais:Olivier
Huzefa H. Kagdi	http://dblp.uni-trier.de/pers/hd/k/Kagdi:Huzefa_H=
Istv&#225;n R&#225;th	http://dblp.uni-trier.de/pers/hd/r/R=aacute=th:Istv=aacute=n
Gregor Engels	http://dblp.uni-trier.de/pers/hd/e/Engels:Gregor
Mohamed Almorsy	http://dblp.uni-trier.de/pers/hd/a/Almorsy:Mohamed
David Lie	http://dblp.uni-trier.de/pers/hd/l/Lie:David
Gabriele Taentzer	http://dblp.uni-trier.de/pers/hd/t/Taentzer:Gabriele
